country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Ecuador,7470,7610,7600,7570,7720,7730,7700,7870,7960,7440,7390,7550,7730,7810,8310,8610,8840,8880,9290,9180,9350,9930,10300,10700,10900,10700,10400,10600
Egypt,5910,5840,5970,6010,6130,6290,6480,6710,6860,7140,7390,7510,7540,7640,7800,8000,8400,8840,9310,9560,9860,9820,9820,9810,9880,10100,10300,10600
El Salvador,4540,4550,4800,5010,5180,5360,5350,5460,5560,5630,5660,5670,5730,5780,5810,5940,6170,6250,6360,6200,6300,6510,6660,6790,6890,7020,7160,7290
Equatorial Guinea,1000,958,1250,1340,1510,1720,2750,6620,7880,9510,10800,16900,19400,21200,28100,31400,32300,35600,40000,38700,33700,34400,35600,32700,31500,27600,24200,22600
Eritrea,,,1110,1270,1540,1590,1720,1830,1820,1780,1680,1770,1770,1660,1630,1630,1570,1560,1380,1410,1420,1510,,,,,,
Estonia,,,,,,11400,12100,13700,14400,14300,15700,16800,17900,19400,20700,22800,25300,27400,26000,22200,22700,24500,25700,26300,27100,27500,28100,29500
Ethiopia,652,584,515,562,560,575,626,626,587,600,618,650,642,610,673,732,790,857,925,980,1070,1160,1230,1330,1420,1530,1610,1730
Fiji,5890,5680,5950,5990,6210,6290,6510,6300,6330,6830,6670,6780,6990,7050,7410,7430,7510,7380,7380,7210,7350,7490,7540,7840,8220,8480,8450,8700
Finland,28900,27000,26000,25700,26600,27600,28500,30200,31800,33100,34900,35700,36200,36900,38200,39100,40500,42500,42600,38900,39800,40700,39900,39400,39000,38900,39700,40600
France,29500,29800,30100,29800,30400,30900,31200,31900,32900,33800,34900,35300,35400,35500,36200,36500,37100,37800,37600,36300,36900,37400,37300,37400,37500,37800,38100,38600
Gabon,19500,20100,19000,19200,19400,19900,20100,20700,20900,18600,17800,17700,17200,17200,16800,16800,15900,16300,15300,14800,15400,15900,16200,16500,16700,16800,16800,16600
Gambia,1510,1500,1500,1500,1460,1440,1430,1460,1460,1510,1550,1590,1490,1540,1600,1530,1500,1510,1540,1590,1640,1520,1560,1580,1550,1570,1550,1560
Georgia,8010,6270,3430,2410,2180,2290,2620,2950,3070,3180,3260,3450,3660,4120,4410,4900,5430,6180,6410,6250,6730,7320,7880,8250,8750,9030,9280,9750
Germany,31300,32600,33000,32500,33200,33700,33800,34400,35100,35800,36800,37300,37300,37000,37400,37700,39100,40500,41000,38800,40400,42700,42800,42900,43600,43900,44400,45200
Ghana,1920,1970,1990,2030,2040,2070,2110,2140,2190,2230,2260,2290,2330,2390,2460,2540,2630,2680,2850,2910,3060,3400,3630,3810,3870,3930,3980,4230
Greece,20700,21100,21100,20600,20900,21200,21800,22600,23400,24000,24800,25700,26600,28100,29500,29600,31100,32100,31900,30400,28700,26100,24400,23700,24100,24200,24200,24600
Grenada,7240,7330,7210,6990,7030,7120,7390,7740,8630,9220,9650,9430,9740,10600,10500,11900,11400,12000,12100,11300,11200,11200,11000,11300,12000,12800,13200,13600
Guatemala,5100,5170,5290,5370,5460,5600,5630,5750,5900,5990,6070,6070,6160,6170,6210,6270,6460,6710,6780,6670,6710,6840,6900,7010,7150,7290,7370,7420
Guinea,1410,1370,1340,1330,1310,1310,1330,1360,1380,1410,1420,1450,1490,1480,1490,1500,1490,1560,1590,1530,1570,1630,1680,1710,1730,1760,1890,2000
Guinea-Bissau,1570,1610,1590,1590,1600,1640,1790,1880,1330,1320,1360,1370,1330,1310,1310,1340,1340,1350,1360,1370,1400,1480,1410,1420,1400,1450,1500,1550
Guyana,2840,3010,3230,3470,3740,3910,4220,4490,4430,4570,4520,4630,4680,4630,4790,4700,4950,5310,5420,5620,5850,6130,6420,6700,6910,7080,7270,7440
Haiti,,,,,,,1720,1730,1740,1750,1740,1690,1660,1640,1560,1560,1570,1600,1590,1610,1500,1560,1580,1630,1650,1650,1650,1650
Honduras,3170,3180,3270,3370,3240,3280,3300,3370,3380,3230,3330,3330,3370,3440,3570,3700,3850,4000,4080,3900,3970,4050,4140,4180,4230,4320,4410,4540
Hungary,,15100,14700,14600,15100,15300,15300,15900,16600,17200,18000,18700,19600,20400,21500,22500,23400,23500,23700,22200,22400,22800,22600,23100,24200,25000,25700,26800
Iceland,,,,,,,29100,30400,32100,33000,34000,34900,34800,35400,37900,39700,40700,43400,43300,40400,39000,39600,39900,41300,41700,43000,45600,46500
India,1750,1740,1800,1850,1930,2040,2150,2190,2290,2450,2500,2570,2620,2780,2960,3180,3420,3700,3790,4050,4400,4640,4830,5070,5390,5760,6100,6430
Indonesia,4630,4860,5090,5330,5640,6010,6390,6590,5650,5610,5810,5930,6120,6320,6550,6820,7100,7450,7790,8040,8430,8840,9250,9640,10000,10400,10800,11200
Iran,11400,12500,12700,12700,12300,12400,12900,12700,12700,12600,13100,13000,13800,14800,15300,15600,16200,17300,17200,17200,17900,18200,16600,16400,16900,16500,18500,19100
Iraq,11500,4030,5200,6580,6620,6560,7060,8300,10800,12400,12200,12100,11000,7130,10700,10900,11700,11600,12200,12300,12700,13300,14600,15200,14800,15100,16200,15700
Ireland,21500,21700,22300,22800,24000,26200,28000,30600,32900,35900,38800,40500,42300,42900,44900,46600,47900,48900,46100,43500,44000,45100,45000,45500,48900,60800,63200,67300
Israel,20500,20800,21700,22000,23000,23900,24500,24800,25200,25500,26800,26200,25700,25500,26200,26800,27700,28700,29100,28800,29700,30600,30600,31300,31700,32000,32700,33100
Italy,31100,31600,31800,31600,32200,33200,33600,34200,34700,35200,36500,37200,37200,37100,37400,37600,38200,38600,38000,35700,36200,36300,35200,34200,33900,34300,34700,35200
